Time,Wait Class Concurrency Latency (ms),Cumulative average,Cumulative Std Dev,Level 1 Alarm,Level 1 Average,Level 2 Alarm if Level 1 Ave. > 0.25,,,
01/08/17 0:00,0.918,0.918,0,0,0,0,Average,0.948932039,
01/08/17 0:30,0.918,0.918,0,0,0,0,Std Dev,1.287637907,
01/08/17 1:00,1.93,1.255,0.506,0,0,0,Upper Boundary Limit,2.236569946,Avg + Std Dev
01/08/17 1:30,1.205,1.243,0.144,0,0,0,,,
01/08/17 2:00,0.716,1.137,0.101,0,0,0,,,
01/08/17 2:30,0.75,1.073,0.084,0,0,0,,,
01/08/17 3:00,1.049,1.069,0.065,0,0,0,,,
01/08/17 3:30,0.753,1.03,0.083,0,0,0,,,
01/08/17 4:00,0.81,1.005,0.054,0,0,0,,,
01/08/17 4:30,0.696,0.975,0.111,0,0,0,,,
01/08/17 5:00,0.669,0.947,0.125,0,0,0,,,
01/08/17 5:30,0.799,0.934,0.06,0,0,0,,,
01/08/17 6:00,0.727,0.918,0.095,0,0,0,,,
01/08/17 6:30,0.738,0.906,0.09,0,0,0,,,
01/08/17 7:00,1.323,0.933,0.202,0,0,0,,,
01/08/17 7:30,1.005,0.938,0.043,0,0,0,,,
01/08/17 8:00,0.644,0.921,0.137,0,0,0,,,
01/08/17 8:30,0.945,0.922,0.014,0,0,0,,,
01/08/17 9:00,0.776,0.914,0.071,0,0,0,,,
01/08/17 9:30,0.697,0.903,0.111,0,0,0,,,
01/08/17 10:00,0.753,0.896,0.083,0,0,0,,,
01/08/17 10:30,0.608,0.883,0.155,0,0,0,,,
01/08/17 11:00,0.735,0.877,0.091,0,0,0,,,
01/08/17 11:30,0.601,0.865,0.159,0,0,0,,,
01/08/17 12:00,0.736,0.86,0.091,0,0,0,,,
01/08/17 12:30,0.598,0.85,0.16,0,0,0,,,
01/08/17 13:00,0.694,0.844,0.112,0,0,0,,,
01/08/17 13:30,0.585,0.835,0.167,0,0,0,,,
01/08/17 14:00,0.81,0.834,0.054,0,0,0,,,
01/08/17 14:30,0.67,0.829,0.124,0,0,0,,,
01/08/17 15:00,0.833,0.829,0.043,0,0,0,,,
01/08/17 15:30,0.694,0.825,0.112,0,0,0,,,
01/08/17 16:00,0.402,0.812,0.258,0,0,0,,,
01/08/17 16:30,0.438,0.801,0.24,0,0,0,,,
01/08/17 17:00,1.032,0.807,0.057,0,0,0,,,
01/08/17 17:30,1.086,0.815,0.084,0,0,0,,,
01/08/17 18:00,0.681,0.811,0.119,0,0,0,,,
01/08/17 18:30,0.506,0.803,0.206,0,0,0,,,
01/08/17 19:00,0.669,0.8,0.125,0,0,0,,,
01/08/17 19:30,0.598,0.795,0.16,0,0,0,,,
01/08/17 20:00,0.691,0.792,0.114,0,0,0,,,
01/08/17 20:30,0.637,0.789,0.141,0,0,0,,,
01/08/17 21:00,0.665,0.786,0.127,0,0,0,,,
01/08/17 21:30,0.638,0.782,0.14,0,0,0,,,
01/08/17 22:00,0.693,0.78,0.113,0,0,0,,,
01/08/17 22:30,0.762,0.78,0.078,0,0,0,,,
01/08/17 23:00,0.801,0.781,0.059,0,0,0,Window 1,01/08/17,
01/08/17 23:30,0.601,0.777,0.159,0,0,0,Average,0.777,
02/08/17 0:00,0.906,0.779,0.006,0,0,0,Std Dev,0.244,
02/08/17 0:30,0.666,0.777,0.126,0,0,0,Upper Boundary Limit = avg + Std Dev,1.021,
02/08/17 1:00,1.221,0.786,0.152,1,0.333,1,,,
02/08/17 1:30,0.514,0.781,0.202,0,0.25,0,,,
02/08/17 2:00,0.667,0.778,0.126,0,0.2,0,,,
02/08/17 2:30,0.729,0.778,0.095,0,0.167,0,,,
02/08/17 3:00,0.815,0.778,0.052,0,0.143,0,,,
02/08/17 3:30,0.613,0.775,0.153,0,0.125,0,,,
02/08/17 4:00,0.792,0.776,0.063,0,0.111,0,,,
02/08/17 4:30,0.574,0.772,0.172,0,0.1,0,,,
02/08/17 5:00,0.858,0.774,0.03,0,0.091,0,,,
02/08/17 5:30,0.529,0.769,0.195,0,0.083,0,,,
02/08/17 6:00,0.687,0.768,0.116,0,0.077,0,,,
02/08/17 6:30,0.59,0.765,0.164,0,0.071,0,,,
02/08/17 7:00,0.791,0.766,0.064,0,0.067,0,,,
02/08/17 7:30,0.56,0.762,0.179,0,0.063,0,,,
02/08/17 8:00,1.512,0.774,0.297,1,0.118,0,,,
02/08/17 8:30,0.592,0.771,0.163,0,0.111,0,,,
02/08/17 9:00,0.688,0.77,0.115,0,0.105,0,,,
02/08/17 9:30,0.6,0.767,0.159,0,0.1,0,,,
02/08/17 10:00,0.709,0.767,0.105,0,0.095,0,,,
02/08/17 10:30,0.736,0.766,0.091,0,0.091,0,,,
02/08/17 11:00,0.679,0.765,0.12,0,0.087,0,,,
02/08/17 11:30,0.593,0.763,0.163,0,0.083,0,,,
02/08/17 12:00,0.812,0.763,0.053,0,0.08,0,,,
02/08/17 12:30,0.838,0.764,0.04,0,0.077,0,,,
02/08/17 13:00,1.019,0.768,0.05,0,0.074,0,,,
02/08/17 13:30,0.657,0.766,0.131,0,0.071,0,,,
02/08/17 14:00,0.736,0.766,0.091,0,0.069,0,,,
02/08/17 14:30,0.629,0.764,0.144,0,0.067,0,,,
02/08/17 15:00,0.714,0.763,0.102,0,0.065,0,,,
02/08/17 15:30,0.807,0.764,0.056,0,0.063,0,,,
02/08/17 16:00,0.757,0.764,0.081,0,0.061,0,,,
02/08/17 16:30,0.565,0.761,0.177,0,0.059,0,,,
02/08/17 17:00,0.623,0.76,0.148,0,0.057,0,,,
02/08/17 17:30,0.62,0.758,0.149,0,0.056,0,,,
02/08/17 18:00,1.043,0.761,0.062,1,0.081,0,,,
02/08/17 18:30,1.088,0.765,0.085,1,0.105,0,,,
02/08/17 19:00,1.583,0.775,0.333,1,0.128,0,,,
