Database Name,Instance Number,Instance Name,Database Version,Cluster,Hostname,Host OS,Num CPUs,Server Memory (GB),DB Block Size,Begin Snap,Begin Time,End Snap,End Time,Elapsed Time (mins),DB Time (mins),Average Active Sessions,Busy Flag,Logical Reads/sec,Block Changes/sec,Read IOPS,Write IOPS,Redo IOPS,All Write IOPS,Total IOPS,Read Throughput (MiB/sec),Write Throughput (MiB/sec),Redo Throughput (MiB/sec),All Write Throughput (MiB/sec),Total Throughput (MiB/sec),DB CPU Time (s),DB CPU %DBTime,Wait Class User I/O Waits,Wait Class User I/O Time (s),Wait Class User I/O Latency (ms),Wait Class User I/O %DBTime,User Calls/sec,Parses/sec,Hard Parses/sec,Logons/sec,Executes/sec,Transactions/sec,Buffer Hit Ratio (%),In-Memory Sort Ratio (%),Log Switches (Total),Log Switches (Per Hour),Top5 Event1 Name,Top5 Event1 Class,Top5 Event1 Waits,Top5 Event1 Time (s),Top5 Event1 Average Time (ms),Top5 Event1 %DBTime,Top5 Event2 Name,Top5 Event2 Class,Top5 Event2 Waits,Top5 Event2 Time (s),Top5 Event2 Average Time (ms),Top5 Event2 %DBTime,Top5 Event3 Name,Top5 Event3 Class,Top5 Event3 Waits,Top5 Event3 Time (s),Top5 Event3 Average Time (ms),Top5 Event3 %DBTime,Top5 Event4 Name,Top5 Event4 Class,Top5 Event4 Waits,Top5 Event4 Time (s),Top5 Event4 Average Time (ms),Top5 Event4 %DBTime,Top5 Event5 Name,Top5 Event5 Class,Top5 Event5 Waits,Top5 Event5 Time (s),Top5 Event5 Average Time (ms),Top5 Event5 %DBTime,db file sequential read Waits,db file sequential read Time (s),db file sequential read Latency (ms),db file sequential read %DBTime,db file scattered read Waits,db file scattered read Time (s),db file scattered read Latency (ms),db file scattered read %DBTime,direct path read Waits,direct path read Time (s),direct path read Latency (ms),direct path read %DBTime,direct path write Waits,direct path write Time (s),direct path write Latency (ms),direct path write %DBTime,direct path read temp Waits,direct path read temp Time (s),direct path read temp Latency (ms),direct path read temp %DBTime,direct path write temp Waits,direct path write temp Time (s),direct path write temp Latency (ms),direct path write temp %DBTime,log file sync Waits,log file sync Time (s),log file sync Latency (ms),log file sync %DBTime,db file parallel write Waits,db file parallel write Time (s),db file parallel write Latency (ms),db file parallel write %DBTime,log file parallel write Waits,log file parallel write Time (s),log file parallel write Latency (ms),log file parallel write %DBTime,log file sequential read Waits,log file sequential read Time (s),log file sequential read Latency (ms),log file sequential read %DBTime,OS busy time,OS idle time,OS iowait time,OS sys time,OS user time,OS cpu wait time,OS resource mgr wait time,Data Guard Flag,Exadata Flag,Wait Class Admin Waits,Wait Class Admin Time (s),Wait Class Admin Latency (ms),Wait Class Admin %DBTime,Wait Class Application Waits,Wait Class Application Time (s),Wait Class Application Latency (ms),Wait Class Application %DBTime,Wait Class Cluster Waits,Wait Class Cluster Time (s),Wait Class Cluster Latency (ms),Wait Class Cluster %DBTime,Wait Class Commit Waits,Wait Class Commit Time (s),Wait Class Commit Latency (ms),Wait Class Commit %DBTime,Wait Class Concurrency Waits,Wait Class Concurrency Time (s),Wait Class Concurrency Latency (ms),Wait Class Concurrency %DBTime,Wait Class Configuration Waits,Wait Class Configuration Time (s),Wait Class Configuration Latency (ms),Wait Class Configuration %DBTime,Wait Class Network Waits,Wait Class Network Time (s),Wait Class Network Latency (ms),Wait Class Network %DBTime,Wait Class Other Waits,Wait Class Other Time (s),Wait Class Other Latency (ms),Wait Class Other %DBTime,Wait Class System I/O Waits,Wait Class System I/O Time (s),Wait Class System I/O Latency (ms),Wait Class System I/O %DBTime,Histogram <1ms db file sequential read,Histogram <2ms db file sequential read,Histogram <4ms db file sequential read,Histogram <8ms db file sequential read,Histogram <16ms db file sequential read,Histogram <32ms db file sequential read,Histogram <1s db file sequential read,Histogram >1s db file sequential read,Histogram <1ms log file parallel write,Histogram <2ms log file parallel write,Histogram <4ms log file parallel write,Histogram <8ms log file parallel write,Histogram <16ms log file parallel write,Histogram <32ms log file parallel write,Histogram <1s log file parallel write,Histogram >1s log file parallel write
ORCLDB,5,ORCLDB5,12.1.0.2.0,Y,hostname1,Linux x86 64-bit,40,251.63,8K,7813,01/08/17 0:00,7814,01/08/17 0:30,29.75,1390.23,46.7,Y,3177581,33668.6,15017.7,1423,183.6,1606.6,16624.3,828.81,30.76,6.06,36.82,865.63,32613,39.1,26010584,45279,1.741,54.3,611.5,2409.1,22.1,9.7,17183,499,99.38,100,0,0,DB CPU,,,32.6K,,39.1,db file sequential read,User I/O,10651059,24.1K,2.26,28.9,direct path read,User I/O,3041123,12.8K,4.2,15.3,db file scattered read,User I/O,831006,3225.1,3.881,3.9,db file parallel read,User I/O,384455,2509.4,6.527,3,10651059,24092,2.262,28.9,831006,3225,3.881,3.9,3041123,12767,4.198,15.3,442,1,2.262,0,46816,87,1.858,0.1,71880,172,2.393,0.2,39,0,0,0,272126,408,1.499,6.6,328011,677,2.064,10.9,,,,,3681107,3334173,1842086,328507,3275840,,0,N,N,,,,,7743,50,6.457,0.1,4181480,3564,0.852,4.3,42413,433,10.209,0.5,665658,611,0.918,0.7,611,3,4.91,0,1057484,305,0.288,0.4,652624,661,1.013,0.8,29916,24,0.802,0,38.2,37.4,15.5,5.2,2.1,1.1,0.5,0,56.2,36.2,2.9,1.5,1.1,0.9,1.1,
ORCLDB,5,ORCLDB5,12.1.0.2.0,Y,hostname1,Linux x86 64-bit,40,251.63,8K,7814,01/08/17 0:30,7815,01/08/17 1:00,30.05,1062.12,35.3,N,2535868,26804.1,7503.6,1334.8,182.1,1516.9,9020.5,407.62,36.07,5.21,41.28,448.9,30057,47.2,24281551,26890,1.107,42.2,547.3,2209.8,28,9.2,12637.3,607.7,99.32,100,1,2,DB CPU,,,30.1K,,47.2,db file sequential read,User I/O,7811764,16.3K,2.09,25.6,db file scattered read,User I/O,1113459,3612.2,3.244,5.7,read by other session,User I/O,1028101,2851.5,2.774,4.5,direct path read,User I/O,528104,2060.9,3.902,3.2,7811764,16334,2.091,25.6,1113459,3612,3.244,5.7,528104,2061,3.903,3.2,659,3,4.552,0,55788,101,1.81,0.2,65274,180,2.758,0.3,33,1,30.303,0,269857,380,1.408,6.3,328311,754,2.297,12.4,8532,30,3.516,0.5,3465365,3589246,1238533,309777,3090844,,0,N,N,,,,,12212,288,23.583,0.5,4649167,3793,0.816,6,51686,687,13.292,1.1,773053,710,0.918,1.1,794,6,7.557,0,1045694,474,0.453,0.7,628393,692,1.101,1.1,14369,13,0.905,0,43.7,36.8,11.3,4.2,2.4,1.2,0.3,0,58,31,4.3,2.3,1.7,1.6,1.2,
ORCLDB,5,ORCLDB5,12.1.0.2.0,Y,hostname1,Linux x86 64-bit,40,251.63,8K,7815,01/08/17 1:00,7816,01/08/17 1:30,30.04,1603.04,53.3,Y,1800489.4,23034,7184.3,1162.9,159.2,1322.1,8506.4,469.01,31.13,4.4,35.53,504.54,31925,33.2,20112539,52568,2.614,54.7,619.7,2370.5,25.5,13.8,12641.7,582.2,98.71,100,1,2,DB CPU,,,31.9K,,33.2,db file sequential read,User I/O,7597132,28.3K,3.73,29.5,db file scattered read,User I/O,1380137,9508,6.889,9.9,direct path read,User I/O,418570,6225.2,14.873,6.5,read by other session,User I/O,1286489,5375.7,4.179,5.6,7597132,28342,3.731,29.5,1380137,9508,6.889,9.9,418570,6225,14.872,6.5,475,2,4.211,0,33173,150,4.522,0.2,32334,181,5.598,0.2,30,1,33.333,0,286252,499,1.743,7.8,286705,799,2.787,12.6,17178,25,1.455,0.4,3596975,3487100,1580415,291766,3241072,,677,N,N,1,0,0,0,15043,1939,128.897,2,4645742,5382,1.158,5.6,57387,987,17.199,1,821295,1585,1.93,1.6,1030,12,11.65,0,1481836,211,0.142,0.2,775285,799,1.031,0.8,15944,22,1.38,0,29.3,35.3,17.2,9.6,4.8,2.4,1.4,,59.4,28.5,3.6,2.8,2.1,1.9,1.8,
ORCLDB,5,ORCLDB5,12.1.0.2.0,Y,hostname1,Linux x86 64-bit,40,251.63,8K,7816,01/08/17 1:30,7817,01/08/17 2:00,30.09,939.46,31.2,N,1533586.4,21177.8,6441.5,941.1,188.1,1129.2,7570.7,233.16,21.73,4.04,25.77,258.93,26709,47.4,20529624,23327,1.136,41.4,479.9,2025.3,47.3,8.8,17061.8,656.7,98.77,100,0,0,DB CPU,,,26.7K,,47.4,db file sequential read,User I/O,7032581,13.5K,1.93,24,db file scattered read,User I/O,1653622,5143.3,3.11,9.1,read by other session,User I/O,974288,2678.4,2.749,4.8,db file parallel read,User I/O,247015,1107.1,4.482,2,7032581,13539,1.925,24,1653622,5143,3.11,9.1,249887,610,2.441,1.1,318,1,3.145,0,44983,67,1.489,0.1,53039,111,2.093,0.2,50,2,40,0,199254,259,1.3,4.9,339644,651,1.917,12.2,,,,,3093435,3974514,1226232,284882,2755118,,244,N,N,,,,,9671,321,33.192,0.6,3720753,3424,0.92,6.1,43922,425,9.676,0.8,698744,842,1.205,1.5,874,5,5.721,0,885358,162,0.183,0.3,608595,650,1.068,1.2,13660,16,1.171,0,42.4,39.9,11.5,3.4,1.6,0.9,0.3,,70.7,22.3,2.5,1.3,1.1,1,1,
ORCLDB,5,ORCLDB5,12.1.0.2.0,Y,hostname1,Linux x86 64-bit,40,251.63,8K,7817,01/08/17 2:00,7818,01/08/17 2:30,30.09,685.74,22.7,N,1487376.8,29151.6,4697.7,1178.2,181.1,1359.3,6057,170.59,30.69,5.23,35.92,206.51,23828,57.9,13877453,13154,0.948,32,425.2,2625.2,34.2,9.7,21310.1,691.6,99.37,100,1,1.99,DB CPU,,,23.8K,,57.9,db file sequential read,User I/O,5437204,10.2K,1.87,24.8,db file scattered read,User I/O,412531,1296.5,3.143,3.2,db file parallel read,User I/O,146120,788.8,5.398,1.9,enq: TX - row lock contention,Applicat,256,753.9,2944.922,1.8,5437204,10187,1.874,24.8,412531,1297,3.144,3.2,113989,347,3.044,0.8,405,1,2.469,0,39260,44,1.121,0.1,37008,89,2.405,0.2,211,6,28.436,0,217078,277,1.276,4.9,327280,711,2.172,12.6,8835,27,3.056,0.5,2751925,4335485,875722,240987,2464732,,2,N,N,2,0,0,0,10593,761,71.84,1.8,2303288,2026,0.88,4.9,23693,316,13.337,0.8,755908,541,0.716,1.3,686,6,8.746,0,801136,167,0.208,0.4,598185,480,0.802,1.2,18170,20,1.101,0,49,35.9,9.1,2.9,1.7,1,0.3,0,60.9,31.2,2.7,1.4,1.3,1.2,1.2,
ORCLDB,5,ORCLDB5,12.1.0.2.0,Y,hostname1,Linux x86 64-bit,40,251.63,8K,7818,01/08/17 2:30,7819,01/08/17 3:00,29.76,755.69,25.3,N,1469810.9,26506.9,5665.4,952.8,173.4,1126.2,6791.6,172,27.6,4.51,32.11,204.11,25428,56.1,15504672,14645,0.945,32.3,368.6,1617.7,24,8.8,21905.9,649.2,99.22,100,1,2.02,DB CPU,,,25.4K,,56.1,db file sequential read,User I/O,5523320,9552.3,1.729,21.1,db file scattered read,User I/O,631433,1736.3,2.75,3.8,db file parallel read,User I/O,308493,1431,4.639,3.2,SQL*Net message from dblink,Network,48637,1330.5,27.356,2.9,5523320,9552,1.729,21.1,631433,1736,2.749,3.8,171824,547,3.183,1.2,321,1,3.115,0,32776,67,2.044,0.1,42391,109,2.571,0.2,168,2,11.905,0,235475,288,1.223,5.6,309405,732,2.366,14.4,6783,87,12.826,1.7,2952080,4060884,920698,270088,2632602,,0,N,N,1,0,0,0,10603,133,12.544,0.3,2806329,2472,0.881,5.5,23131,261,11.284,0.6,534646,401,0.75,0.9,559,3,5.367,0,651197,1637,2.514,3.6,597827,559,0.935,1.2,11285,15,1.329,0,51.6,34.4,8.3,2.9,1.8,0.9,0.2,0,57.2,30.6,4.6,2.4,2.1,1.9,1.1,
ORCLDB,5,ORCLDB5,12.1.0.2.0,Y,hostname1,Linux x86 64-bit,40,251.63,8K,7819,01/08/17 3:00,7820,01/08/17 3:30,29.99,1484.16,49.4,Y,1534416.1,21023.4,22010.8,921.2,178,1099.2,23110,1509.5,21.73,3.76,25.49,1534.99,27973,31.4,28485363,54261,1.905,60.9,704,1938.9,31.8,9.7,13203.9,501.9,98.38,100,0,0,DB CPU,,,28K,,31.4,db file sequential read,User I/O,13595713,27.6K,2.03,31,direct path read,User I/O,3892713,14.2K,3.65,15.9,read by other session,User I/O,1708322,5156.5,3.018,5.8,db file scattered read,User I/O,1264408,4442.7,3.514,5,13595713,27580,2.029,31,1264408,4443,3.514,5,3892713,14197,3.647,15.9,282,1,3.546,0,44991,148,3.29,0.2,32236,113,3.505,0.1,21,0,0,0,236351,308,1.303,6,320105,621,1.94,12,,,,,3204299,3827237,2328705,355558,2765353,,0,N,N,1,0,0,0,10643,887,83.341,1,3175822,2612,0.822,2.9,87874,626,7.124,0.7,855712,898,1.049,1,1680,12,7.143,0,1238271,1942,1.568,2.2,583735,568,0.973,0.6,12333,17,1.378,0,38.6,39.5,14.9,4.1,1.7,0.8,0.3,0,64.1,24.2,5.2,2.7,1.8,1.4,0.7,
ORCLDB,5,ORCLDB5,12.1.0.2.0,Y,hostname1,Linux x86 64-bit,40,251.63,8K,7820,01/08/17 3:30,7821,01/08/17 4:00,30,981.48,32.7,N,1451688.4,18325,10177.3,850.4,169.7,1020.1,11197.4,225.72,24.57,3.51,28.08,253.8,23005,39.1,23812151,31647,1.329,53.7,436.7,1518.1,21.4,9.1,8234.2,527.2,98.83,100,1,2,db file sequential read,User I/O,14529691,25.9K,1.78,43.9,DB CPU,,,23K,,39.1,db file scattered read,User I/O,908794,2380.9,2.62,4,SQL*Net message from dblink,Network,57516,1870.5,32.521,3.2,read by other session,User I/O,513960,1215.2,2.364,2.1,14529691,25861,1.78,43.9,908794,2381,2.62,4,378793,866,2.286,1.5,178,1,5.618,0,29936,58,1.937,0.1,20150,70,3.474,0.1,9,0,0,0,195512,252,1.289,5,305470,595,1.948,11.8,9268,74,7.984,1.5,2752485,4301616,1862806,295740,2397769,,0,N,N,3,0,0,0,7275,82,11.271,0.1,2945307,1872,0.636,3.2,47057,298,6.333,0.5,491544,370,0.753,0.6,632,26,41.139,0,761966,1886,2.475,3.2,583148,485,0.832,0.8,11737,12,1.022,0,45.2,37.3,12,3.2,1.3,0.7,0.2,0,71.8,19.7,2.8,1.8,1.6,1.3,1,
ORCLDB,5,ORCLDB5,12.1.0.2.0,Y,hostname1,Linux x86 64-bit,40,251.63,8K,7821,01/08/17 4:00,7822,01/08/17 4:30,30.09,1015.53,33.7,N,1429790.9,28439.3,10861.2,949.4,182,1131.4,11992.6,350.35,24.11,4.68,28.79,379.14,23817,39.1,22301085,30469,1.366,50,527.8,2186.9,22,9.7,17629.8,632,98.92,100,1,1.99,db file sequential read,User I/O,11607238,23.9K,2.06,39.3,DB CPU,,,23.8K,,39.1,db file parallel read,User I/O,517736,2454.9,4.742,4,SQL*Net message from dblink,Network,125183,1997.5,15.957,3.3,db file scattered read,User I/O,569101,1904.9,3.347,3.1,11607238,23926,2.061,39.3,569101,1905,3.347,3.1,513396,1513,2.947,2.5,434,1,2.304,0,32480,40,1.232,0.1,23069,54,2.341,0.1,35,1,28.571,0,227736,299,1.313,5.7,328827,642,1.952,12.3,5444,15,2.755,0.3,2757356,4298300,1751410,281033,2416812,,0,N,N,2,0,0,0,9278,778,83.854,1.3,3393094,2277,0.671,3.7,46692,385,8.246,0.6,632437,512,0.81,0.8,583,15,25.729,0,1083694,2077,1.917,3.4,704104,494,0.702,0.8,12009,9,0.749,0,38.1,36.1,17.6,5.4,1.8,0.8,0.2,0,69.5,22.6,2.4,1.6,1.6,1.4,0.9,
ORCLDB,5,ORCLDB5,12.1.0.2.0,Y,hostname1,Linux x86 64-bit,40,251.63,8K,7822,01/08/17 4:30,7823,01/08/17 5:00,30.08,983.49,32.6,N,1139881.3,16854.6,8277.4,781.4,181.1,962.5,9239.9,523.93,22.93,3.27,26.2,550.13,21297,36.1,22178830,32798,1.479,55.6,527.7,1543.7,19.5,9.6,8165.4,533.3,98.42,100,1,1.99,DB CPU,,,21.3K,,36.1,db file sequential read,User I/O,9890474,19.3K,1.95,32.6,read by other session,User I/O,1466952,4461.7,3.041,7.6,db file scattered read,User I/O,1217591,3868.6,3.177,6.6,direct path read,User I/O,875286,3499.5,3.998,5.9,9890474,19260,1.947,32.6,1217591,3869,3.178,6.6,875286,3500,3.999,5.9,218,1,4.587,0,29476,45,1.527,0.1,27804,77,2.769,0.1,26,0,0,0,219780,283,1.288,5.9,326821,598,1.83,12.5,4407,18,4.084,0.4,2524730,4539180,1802836,278174,2192749,,0,N,N,2,0,0,0,9367,633,67.578,1.1,2645324,2130,0.805,3.6,49273,304,6.17,0.5,497382,346,0.696,0.6,504,3,5.952,0,949230,1913,2.015,3.2,525259,401,0.763,0.7,10801,15,1.389,0,40.9,39.3,13.5,3.8,1.5,0.9,0.3,0,73.9,19.5,2.2,1.3,1.1,1.1,1,
